0029,[玉][手][次] [畝][火][之][山][乃] [橿][原][乃] [日][知][之][御][世][従] [[或][云] [自][宮]] [阿][礼][座][師] [神][之]<[盡]> [樛][木][乃] [弥][継][嗣][尓] [天][下] [所][知][食][之][乎] [[或][云] [食][来]] [天][尓][満] [倭][乎][置][而] [青][丹][吉] [平][山][乎][超] [[或][云] [虚][見] [倭][乎][置] [青][丹][吉] [平][山][越][而]] [何][方] [御][念][食][可] [[或][云] [所][念][計][米][可]] [天][離] [夷][者][雖][有] [石][走] [淡][海][國][乃] [樂][浪][乃] [大][津][宮][尓] [天][下] [所][知][食][兼] [天][皇][之] [神][之][御][言][能] [大][宮][者] [此][間][等][雖][聞] [大][殿][者] [此][間][等][雖][云] [春][草][之] [茂][生][有] [霞][立] [春][日][之][霧][流] [[或][云] [霞][立] [春][日][香][霧][流] [夏][草][香] [繁][成][奴][留]] [百][礒][城][之] [大][宮][處] [見][者][悲]<[毛]> [[或][云] [見][者][左][夫][思][毛]]
0030,[樂][浪][之] [思][賀][乃][辛][碕] [雖][幸][有] [大][宮][人][之] [船][麻][知][兼][津]
0031,[左][散][難][弥][乃] [志][我][能] [[一][云] [比][良][乃]] [大][和][太] [與][杼][六][友] [昔][人][二] [亦][母][相][目][八][毛] [[一][云] [将][會][跡][母][戸][八]]
0032,[古] [人][尓][和][礼][有][哉] [樂][浪][乃] [故][京][乎] [見][者][悲][寸]
0033,[樂][浪][乃] [國][都][美][神][乃] [浦][佐][備][而] [荒][有][京] [見][者][悲][毛]
0034,[白][浪][乃] [濱][松][之][枝][乃] [手][向][草] [幾][代][左][右][二][賀] [年][乃][經][去][良][武] [[一][云] [年][者][經][尓][計][武]]
0035,[此][也][是][能] [倭][尓][四][手][者] [我][戀][流] [木][路][尓][有][云] [名][二][負][勢][能][山]
0036,[八][隅][知][之] [吾][大][王][之] [所][聞][食] [天][下][尓] [國][者][思][毛] [澤][二][雖][有] [山][川][之] [清][河][内][跡] [御][心][乎] [吉][野][乃][國][之] [花][散][相] [秋][津][乃][野][邊][尓] [宮][柱] [太][敷][座][波] [百][礒][城][乃] [大][宮][人][者] [船][並][弖] [旦][川][渡] [舟]<[競]> [夕][河][渡] [此][川][乃] [絶][事][奈][久] [此][山][乃] [弥][高]<[思][良]>[珠] [水][激] [瀧][之][宮][子][波] [見][礼][跡][不][飽][可]<[問]>
0037,[雖][見][飽][奴] [吉][野][乃][河][之] [常][滑][乃] [絶][事][無][久] [復][還][見][牟]
0038,[安][見][知][之] [吾][大][王] [神][長][柄] [神][佐][備][世][須][登] <[芳]>[野][川] [多][藝][津][河][内][尓] [高][殿][乎] [高][知][座][而] [上][立] [國][見][乎][為]<[勢]><[婆]> [疊][有] [青][垣][山] [々][神][乃] [奉][御][調][等] [春][部][者] [花][挿][頭][持] [秋][立][者] [黄][葉][頭]<[刺]>[理] [[一][云] [黄][葉][加][射][之]] <[逝]>[副] [川][之][神][母] [大][御][食][尓] [仕][奉][等] [上][瀬][尓] [鵜][川][乎][立] [下][瀬][尓] [小][網][刺][渡] [山][川][母] [依][弖][奉][流] [神][乃][御][代][鴨]
0039,[山][川][毛] [因][而][奉][流] [神][長][柄] [多][藝][津][河][内][尓] [船][出][為][加][母]
0040,[鳴][呼][見][乃][浦][尓] [船][乗][為][良][武] [Ｄ][嬬][等][之] [珠][裳][乃][須][十][二] [四][寳][三][都][良][武][香]
0041,[釼][著] [手][節][乃][埼][二] [今]<[日]>[毛][可][母] [大][宮][人][之] [玉][藻][苅][良]<[武]>
0042,[潮][左][為][二] [五][十][等][兒][乃][嶋][邊] [榜][船][荷] [妹][乗][良][六][鹿] [荒][嶋][廻][乎]
0043,[吾][勢][枯][波] [何][所][行][良][武] [己][津][物] [隠][乃][山][乎] [今][日][香][越][等][六]
0044,[吾][妹][子][乎] [去][来][見][乃][山][乎] [高][三][香][裳] [日][本][能][不][所][見] [國][遠][見][可][聞]
0045,[八][隅][知][之] [吾][大][王] [高][照] [日][之][皇][子] [神][長][柄] [神][佐][備][世][須]<[等]> [太][敷][為] [京][乎][置][而] [隠][口][乃] [泊][瀬][山][者] [真][木][立] [荒][山][道][乎] [石][根] [禁][樹][押][靡] [坂][鳥][乃] [朝][越][座][而] [玉][限] [夕][去][来][者] [三][雪][落] [阿][騎][乃][大][野][尓] [旗][須][為][寸] [四][能][乎][押][靡] [草][枕] [多][日][夜][取][世][須] [古][昔][念][而]
0046,[阿][騎][乃]<[野]>[尓] [宿][旅][人] [打][靡] [寐][毛][宿][良]<[目]>[八][方] [古][部][念][尓]
0047,[真][草][苅] [荒][野][者][雖][有] [葉] [過][去][君][之] [形][見][跡][曽][来][師]
0048,[東] [野][炎] [立][所][見][而] [反][見][為][者] [月][西][渡]
0049,[日][雙][斯] [皇][子][命][乃] [馬][副][而] [御][猟][立][師][斯] [時][者][来][向]
0050,[八][隅][知][之] [吾][大][王] [高][照] [日]<[乃]>[皇][子] [荒][妙][乃] [藤][原][我][宇][倍][尓] [食][國][乎] [賣][之][賜][牟][登] [都][宮][者] [高][所][知][武][等] [神][長][柄] [所][念][奈][戸][二] [天][地][毛] [縁][而][有][許][曽] [磐][走] [淡][海][乃][國][之] [衣][手][能] [田][上][山][之] [真][木][佐][苦] [桧][乃][嬬][手][乎] [物][乃][布][能] [八][十][氏][河][尓] [玉][藻][成] [浮][倍][流][礼] [其][乎][取][登] [散][和][久][御][民][毛] [家][忘] [身][毛][多][奈][不][知] [鴨][自][物] [水][尓][浮][居][而] [吾][作] [日][之][御][門][尓] [不][知][國] [依][巨][勢][道][従] [我][國][者] [常][世][尓][成][牟] [圖][負][留] [神][龜][毛] [新][代][登] [泉][乃][河][尓] [持][越][流] [真][木][乃][都][麻][手][乎] [百][不][足] [五][十][日][太][尓][作] [泝][須]<[良]>[牟] [伊][蘇][波][久][見][者] [神][随][尓][有][之]
0051,[婇][女][乃] [袖][吹][反] [明][日][香][風] [京][都][乎][遠][見] [無][用][尓][布][久]
0052,[八][隅][知][之] [和][期][大][王] [高][照] [日][之][皇][子] [麁][妙][乃] [藤][井][我][原][尓] [大][御][門] [始][賜][而] [埴][安][乃] [堤][上][尓] [在][立][之] [見][之][賜][者] [日][本][乃] [青][香][具][山][者] [日][經][乃] [大][御][門][尓] [春][山]<[跡]> [之][美][佐][備][立][有] [畝][火][乃] [此][美][豆][山][者] [日][緯][能] [大][御][門][尓] [弥][豆][山][跡] [山][佐][備][伊][座] [耳]<[為]>[之] [青][菅][山][者] [背][友][乃] [大][御][門][尓] [宣][名][倍] [神][佐][備][立][有] [名][細] [吉][野][乃][山][者] [影][友][乃] [大][御][門]<[従]> [雲][居][尓][曽] [遠][久][有][家][留] [高][知][也] [天][之][御][蔭] [天][知][也] [日]<[之]>[御][影][乃] [水][許][曽][婆] [常][尓][有][米] [御][井][之][清][水]
0053,[藤][原][之] [大][宮][都][加][倍] [安][礼][衝][哉] [處][女][之][友][者] <[乏]>[吉]<[呂]>[賀][聞]
0054,[巨][勢][山][乃] [列][々][椿] [都][良][々][々][尓] [見][乍][思][奈] [許][湍][乃][春][野][乎]
0055,[朝][毛][吉] [木][人][乏][母] [亦][打][山] [行][来][跡][見][良][武] [樹][人][友][師][母]
0056,[河][上][乃] [列][々][椿] [都][良][々][々][尓] [雖][見][安][可][受] [巨][勢][能][春][野][者]
0057,[引][馬][野][尓] [仁][保][布][榛][原] [入][乱] [衣][尓][保][波][勢] [多][鼻][能][知][師][尓]
0058,[何][所][尓][可] [船][泊][為][良][武] [安][礼][乃][埼] [榜][多][味][行][之] [棚][無][小][舟]
0059,[流][經] [妻][吹][風][之] [寒][夜][尓] [吾][勢][能][君][者] [獨][香][宿][良]<[武]>
0060,[暮][相][而] [朝][面][無][美] [隠][尓][加] [氣][長][妹][之] [廬][利][為][里][計][武]
0061,<[大]>[夫][之] [得][物][矢][手][挿] [立][向] [射][流][圓][方][波] [見][尓][清][潔][之]
0062,[在][根][良] [對][馬][乃][渡] [々][中][尓] <[幣]>[取][向][而] [早][還][許][年]
0063,[去][来][子][等] [早][日][本][邊] [大][伴][乃] [御][津][乃][濱][松] [待][戀][奴][良][武]
0064,[葦][邊][行] [鴨][之][羽][我][比][尓] [霜][零][而] [寒][暮][夕] <[倭]>[之][所][念]
0065,[霰][打] [安][良][礼][松][原] [住][吉]<[乃]> [弟][日][娘][与] [見][礼][常][不][飽][香][聞]
0066,[大][伴][乃] [高][師][能][濱][乃] [松][之][根][乎] [枕][宿][杼] [家][之][所][偲][由]
0067,[旅][尓][之][而] [物][戀]<[之][伎]><[尓] [鶴][之]>[鳴][毛] [不][所][聞][有][世][者] [孤][悲][而][死][萬][思]
0068,[大][伴][乃] [美][津][能][濱][尓][有] [忘][貝] [家][尓][有][妹][乎] [忘][而][念][哉]
0069,[草][枕] [客][去][君][跡] [知][麻][世][婆] <[崖]>[之]<[埴]>[布][尓] [仁][寶][播][散][麻][思]<[呼]>
0070,[倭][尓][者] [鳴][而][歟][来][良][武] [呼][兒][鳥] [象][乃][中][山] [呼][曽][越][奈][流]
0071,[倭][戀] [寐][之][不][所][宿][尓] [情][無] [此][渚][崎]<[未]>[尓] [多][津][鳴][倍][思][哉]
0072,[玉][藻][苅] [奥][敝][波][不]<[榜]> [敷][妙]<[乃]> [枕][之][邊][人] [忘][可][祢][津][藻]
0073,[吾][妹][子][乎] [早][見][濱][風] [倭][有] [吾][松][椿] [不][吹][有][勿][勤]
0074,[見][吉][野][乃] [山][下][風][之] [寒][久][尓] [為][當][也][今][夜][毛] [我][獨][宿][牟]
0075,[宇][治][間][山] [朝][風][寒][之] [旅][尓][師][手] [衣][應][借] [妹][毛][有][勿][久][尓]
0076,[大][夫][之] [鞆][乃][音][為][奈][利] [物][部][乃] [大][臣] [楯][立][良][思][母]
0077,[吾][大][王] [物][莫][御][念] [須][賣][神][乃] [嗣][而][賜][流] [吾][莫][勿][久][尓]
0078,[飛][鳥] [明][日][香][能][里][乎] [置][而][伊][奈][婆] [君][之][當][者] [不][所][見][香][聞][安][良][武] [[一][云] [君][之][當][乎] [不][見][而][香][毛][安][良][牟]]
0079,[天][皇][乃] [御][命][畏][美] [柔][備][尓][之] [家][乎][擇] [隠][國][乃] [泊][瀬][乃][川][尓] [Ｈ][浮][而] [吾][行][河][乃] [川][隈][之] [八][十][阿][不][落] [万][段] [顧][為][乍] [玉][桙][乃] [道][行][晩] [青]<[丹]>[吉] [楢][乃][京][師][乃] [佐][保][川][尓] [伊][去][至][而] [我][宿][有] [衣][乃][上][従] [朝][月][夜] [清][尓][見][者] [栲][乃][穂][尓] [夜][之][霜][落] [磐][床][等] [川][之]<[水]>[凝] [冷][夜][乎] [息][言][無][久] [通][乍] [作][家][尓] [千][代][二][手] [来][座][多][公][与] [吾][毛][通][武]
0080,[青][丹][吉] [寧][樂][乃][家][尓][者] [万][代][尓] [吾][母][将][通] [忘][跡][念][勿]
0081,[山][邊][乃] [御][井][乎][見][我][弖][利] [神][風][乃] [伊][勢][處][女][等] [相][見][鶴][鴨]
0082,[浦][佐][夫][流] [情][佐][麻]<[祢]>[之] [久][堅][乃] [天][之][四][具][礼][能] [流][相][見][者]
0083,[海][底] [奥][津][白][波] [立][田][山] [何][時][鹿][越][奈][武] [妹][之][當][見][武]
0084,[秋][去][者] [今][毛][見][如] [妻][戀][尓] [鹿][将][鳴][山][曽] [高][野][原][之][宇][倍]
0091,[妹][之][家][毛] [継][而][見][麻][思][乎] [山][跡][有] [大][嶋][嶺][尓] [家][母][有][猿][尾] [[一][云] [妹][之][當][継][而][毛][見][武][尓]] [[一][云] [家][居][麻][之][乎]]
0100,[東][人][之] [荷][向][篋][乃] [荷][之][緒][尓][毛] [妹][情][尓] [乗][尓][家][留][香][問] [[禅][師]]
0101,[玉][葛] [實][不][成][樹][尓][波] [千][磐][破] [神][曽][著][常][云] [不][成][樹][別][尓]
0102,[玉][葛] [花][耳][開][而] [不][成][有][者] [誰][戀][尓][有][目] [吾][孤][悲][念][乎]
0103,[吾][里][尓] [大][雪][落][有] [大][原][乃] [古][尓][之][郷][尓] [落][巻][者][後]
0104,[吾][岡][之] [於][可][美][尓][言][而] [令][落] [雪][之][摧][之] [彼][所][尓][塵][家][武]
0105,[吾][勢][Ｉ][乎] [倭][邊][遺][登] [佐][夜][深][而] [鷄][鳴][露][尓] [吾][立][所][霑][之]
0106,[二][人][行][杼] [去][過][難][寸] [秋][山][乎] [如][何][君][之] [獨][越][武]
0107,[足][日][木][乃] [山][之][四][付][二] [妹][待][跡] [吾][立][所]<[沾]> [山][之][四][附][二]
0108,[吾][乎][待][跡] [君][之]<[沾]>[計][武] [足][日][木][能] [山][之][四][附][二] [成][益][物][乎]
0109,[大][船][之] [津][守][之][占][尓] [将][告][登][波] [益][為][尓][知][而] [我][二][人][宿][之]
0110,[大][名][兒] [彼][方][野][邊][尓] [苅][草][乃] [束][之][間][毛] [吾][忘][目][八]
0111,[古][尓] [戀][流][鳥][鴨] [弓][絃][葉][乃] [三][井][能][上][従] <[鳴]><[濟]>[遊][久]
0112,[古][尓] [戀][良][武][鳥][者] [霍][公][鳥] [盖][哉][鳴][之] [吾]<[念]>[流]<[碁]>[騰]
0113,[三][吉][野][乃] [玉][松][之][枝][者] [波][思][吉][香][聞] [君][之][御][言][乎] [持][而][加][欲][波][久]
0114,[秋][田][之] [穂][向][乃][所][縁] [異][所][縁] [君][尓][因][奈][名] [事][痛][有][登][母]
0115,[遺][居]<[而]> [戀][管][不][有][者] [追][及][武] [道][之][阿][廻][尓] [標][結][吾][勢]
0116,[人][事][乎] [繁][美][許][知][痛][美] [己][世][尓] [未][渡] [朝][川][渡]
0117,[大][夫][哉] [片][戀][将][為][跡] [嘆][友] [鬼][乃][益][卜][雄] [尚][戀][二][家][里]
0118,<[嘆]>[管] [大][夫][之] [戀][礼][許][曽] [吾][髪][結][乃] [漬][而][奴][礼][計][礼]
0119,[芳][野][河] [逝][瀬][之][早][見] [須][臾][毛] [不][通][事][無] [有][巨][勢]<[濃]>[香][問]
0120,[吾][妹][兒][尓] [戀][乍][不][有][者] [秋][芽][之] [咲][而][散][去][流] [花][尓][有][猿][尾]
0121,[暮][去][者] [塩][満][来][奈][武] [住][吉][乃] [淺][鹿][乃][浦][尓] [玉][藻][苅][手][名]
0122,[大][船][之] [泊][流][登][麻][里][能] [絶][多][日][二] [物][念][痩][奴] [人][能][兒][故][尓]
0123,[多][氣][婆][奴][礼] [多][香][根][者][長][寸] [妹][之][髪] [此][来][不][見][尓] [掻][入][津][良][武][香] [[三][方][沙][弥]]
0124,[人][皆][者] [今][波][長][跡] [多][計][登][雖][言] [君][之][見][師][髪] [乱][有][等][母] [[娘][子]]
0125,[橘][之] [蔭][履][路][乃] [八][衢][尓] [物][乎][曽][念] [妹][尓][不][相][而] [[三][方][沙][弥]]
0126,[遊][士][跡] [吾][者][聞][流][乎] [屋][戸][不][借] [吾][乎][還][利] [於][曽][能][風][流][士]
0127,[遊][士][尓] [吾][者][有][家][里] [屋][戸][不][借] [令][還][吾][曽] [風][流][士][者][有]
0128,[吾][聞][之] [耳][尓][好][似] [葦][若]<[末]>[乃] [足][痛][吾][勢] [勤][多][扶][倍][思]
0129,[古][之] [嫗][尓][為][而][也] [如][此][許] [戀][尓][将][沈] [如][手][童][兒] [[戀][乎]<[大]>[尓][忍][金][手][武][多][和][良][波][乃][如]]
0130,[丹][生][乃][河] [瀬][者][不][渡][而] [由][久][遊][久][登] [戀][痛][吾][弟] [乞][通][来][祢]
0131,[石][見][乃][海] [角][乃][浦][廻][乎] [浦][無][等] [人][社][見][良][目] [滷][無][等] [[一][云] [礒][無][登]] [人][社][見][良][目] [能][咲][八][師] [浦][者][無][友] [縦][畫][屋][師] [滷][者] [[一][云] [礒][者]] [無][鞆] [鯨][魚][取] [海][邊][乎][指][而] [和][多][豆][乃] [荒][礒][乃][上][尓] [香][青][生] [玉][藻][息][津][藻] [朝][羽][振] [風][社][依][米] [夕][羽][振][流] [浪][社][来][縁] [浪][之][共] [彼][縁][此][依] [玉][藻][成] [依][宿][之][妹][乎] [[一][云] [波][之][伎][余][思] [妹][之][手][本][乎]] [露][霜][乃] [置][而][之][来][者] [此][道][乃] [八][十][隈][毎] [萬][段] [顧][為][騰] [弥][遠][尓] [里][者][放][奴] [益][高][尓] [山][毛][越][来][奴] [夏][草][之] [念][思][奈][要][而] [志]<[怒]>[布][良][武] [妹][之][門][将][見] [靡][此][山]
0132,[石][見][乃][也] [高][角][山][之] [木][際][従] [我][振][袖][乎] [妹][見][都][良][武][香]
0133,[小][竹][之][葉][者] [三][山][毛][清][尓] [乱][友] [吾][者][妹][思] [別][来][礼][婆]
0134,[石][見][尓][有] [高][角][山][乃] [木][間][従][文] [吾][袂][振][乎] [妹][見][監][鴨]
0135,[角]<[障]>[經] [石][見][之][海][乃] [言][佐][敝][久] [辛][乃][埼][有] [伊][久][里][尓][曽] [深][海][松][生][流] [荒][礒][尓][曽] [玉][藻][者][生][流] [玉][藻][成] [靡][寐][之][兒][乎] [深][海][松][乃] [深][目][手][思][騰] [左][宿][夜][者] [幾][毛][不][有] [延][都][多][乃] [別][之][来][者] [肝][向] [心][乎][痛] [念][乍] [顧][為][騰] [大][舟][之] [渡][乃][山][之] [黄][葉][乃] [散][之][乱][尓] [妹][袖] [清][尓][毛][不][見] [嬬][隠][有] [屋][上][乃] [[一][云] [室][上][山]] [山][乃] [自][雲][間] [渡][相][月][乃] [雖][惜] [隠][比][来][者] [天][傳] [入][日][刺][奴][礼] [大][夫][跡] [念][有][吾][毛] [敷][妙][乃] [衣][袖][者] [通][而]<[沾]>[奴]
0136,[青][駒][之] [足][掻][乎][速] [雲][居][曽] [妹][之][當][乎] [過][而][来][計][類] [[一][云] [當][者][隠][来][計][留]]
0137,[秋][山][尓] [落][黄][葉] [須][臾][者] [勿][散][乱][曽] [妹][之]<[當]>[将][見] [[一][云] [知][里][勿][乱][曽]]
0138,[石][見][之][海] [津][乃][浦][乎][無][美] [浦][無][跡] [人][社][見][良][米] [滷][無][跡] [人][社][見][良][目] [吉][咲][八][師] [浦][者][雖][無] [縦][恵][夜][思] [潟][者][雖][無] [勇][魚][取] [海][邊][乎][指][而] [柔][田][津][乃] [荒][礒][之][上][尓] [蚊][青][生] [玉][藻][息][都][藻] [明][来][者] [浪][己][曽][来][依] [夕][去][者] [風][己][曽][来][依] [浪][之][共] [彼][依][此][依] [玉][藻][成] [靡][吾][宿][之] [敷][妙][之] [妹][之][手][本][乎] [露][霜][乃] [置][而][之][来][者] [此][道][之] [八][十][隈][毎] [萬][段] [顧][雖][為] [弥][遠][尓] [里][放][来][奴] [益][高][尓] [山][毛][超][来][奴] [早][敷][屋][師] [吾][嬬][乃][兒][我] [夏][草][乃] [思][志][萎][而] [将][嘆] [角][里][将][見] [靡][此][山]
0139,[石][見][之][海] [打][歌][山][乃] [木][際][従] [吾][振][袖][乎] [妹][将][見][香]
0140,[勿][念][跡] [君][者][雖][言] [相][時] [何][時][跡][知][而][加] [吾][不][戀][有][牟]
0141,[磐][白][乃] [濱][松][之][枝][乎] [引][結] [真][幸][有][者] [亦][還][見][武]
0142,[家][有][者] [笥][尓][盛][飯][乎] [草][枕] [旅][尓][之][有][者] [椎][之][葉][尓][盛]
0143,[磐][代][乃] <[崖]>[之][松][枝] [将][結] [人][者][反][而] [復][将][見][鴨]
